l2_regularization,learning_rate,max_depth,max_iter,min_samples_leaf,random_state,class_weight,val_acc,val_macro_f1,val_bal_acc
1.0,0.03,5,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.3725112395632627,0.27966533898692836,0.33612939750190557
0.0,0.03,5,200,50,42,,0.38471419396274886,0.27921270970804846,0.3462092419048866
0.0,0.03,5,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.37700706486833657,0.27920447711888025,0.3393849498619704
1.0,0.07,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.3699421965317919,0.278231341001352,0.3346004525906077
0.0,0.07,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.394990366088632,0.2733824210812628,0.3523006169635356
0.0,0.03,3,200,20,42,,0.3872832369942196,0.27296538840855117,0.3473031275671092
0.0,0.07,3,200,50,42,,0.380218368657675,0.2727033019070989,0.3418482786826473
1.0,0.07,3,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.38471419396274886,0.2698240945069414,0.3442747814206373
1.0,0.03,3,200,20,42,,0.3872832369942196,0.2689287218608134,0.3464357807675101
0.0,0.07,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.36416184971098264,0.2677986820338663,0.32746507757248694
1.0,0.03,3,200,50,42,,0.3892100192678227,0.2620599739243807,0.34645433020175237
1.0,0.07,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.3904945407835581,0.26056922032482116,0.34694855961304943
1.0,0.03,5,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.371868978805395,0.2591259369115801,0.3326529032592447
0.0,0.03,5,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.3737957610789981,0.2519270945347885,0.33289897066227714
0.0,0.03,3,200,50,42,,0.380218368657675,0.24927360027576986,0.3372068916603926
0.0,0.03,3,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.38985228002569045,0.2490958891722427,0.34494205932233774
0.0,0.03,5,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.3821451509312781,0.2427879336196693,0.3374501873648736
1.0,0.03,5,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.37700706486833657,0.24170754834845762,0.33352772244123025
1.0,0.07,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.3834296724470135,0.2353105593838637,0.3384765877692201
1.0,0.03,3,200,20,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.3853564547206166,0.2307778994323185,0.3388530613970686
0.0,0.07,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.38664097623635196,0.23038753835112358,0.33995936855543557
0.0,0.03,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.37636480411046885,0.21684700124771195,0.32991027587996796
0.0,0.03,3,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.3872832369942196,0.2153927788975334,0.33870402292803603
1.0,0.03,5,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.380218368657675,0.20441311126671688,0.331534457132881
1.0,0.03,3,200,50,42,"{'down': 0.8, 'flat': 1.5, 'up': 1.1}",0.3827874116891458,0.20238796757133248,0.3335661657540033
0.0,0.03,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.3840719332048812,0.20238639723261143,0.33449822611292707
1.0,0.03,3,200,20,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.38599871547848424,0.20002133281096116,0.33570209316336436
1.0,0.03,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.38471419396274886,0.18902663690153668,0.3336246685652558
0.0,0.03,3,200,50,42,"{'down': 0.75, 'flat': 1.45, 'up': 1.3}",0.38471419396274886,0.1888542433559973,0.3336246685652558
