date,daily_return_rate,overnight_return_rate,volatility_5,volatility_10,volatility_20,volatility_30,volume_5,body_length,return_3,return_5,return_10,rsi_14,macd,ma_ratio_5_21,return_3_volatility_5,nasdaq_return_1,nasdaq_return_5,relative_strength,target_label_next_day
1983-06-30,-0.0050887336531271,0.0,0.0463367377339386,0.0374230908479648,0.0347898756274136,0.033055271945806,184961280.0,0.001116,-0.0297748212443528,-0.0885767156647744,-0.1462868769074261,28.933987064848598,-0.0076291054268236,0.8939609198066327,-0.0013796680830744,0.0077789718208409,-0.0263647533658792,-0.012867705473968,up
1983-07-01,0.0076721419667082,0.0,0.0476153491593327,0.0380425439335815,0.0323301314735118,0.032527680537065,209883520.0,0.001674,0.0506682977879511,-0.0751168376640037,-0.1224945920704986,32.60873799645495,-0.0081089627257715,0.8865957924536001,0.0024125886904823,0.009036630859504,-0.0222857833700124,-0.0013644888927957996,down
1983-07-05,-0.0406065512630421,0.0,0.0451583272463388,0.0372274026626877,0.0320294170605668,0.0316180964233441,201685120.0,0.008928,-0.0381655023984534,-0.0620308775924016,-0.1147510712142386,31.579046648935176,-0.0091047145955937,0.88607049867269,-0.0017234902468302,-0.013775710121145,-0.0221681029863362,-0.0268308411418971,flat
1983-07-06,0.0026453270629284,0.0,0.0316739098031485,0.0370105838665996,0.0318532971014423,0.031502943343765,151034240.0,0.000558,-0.0306885678668329,0.0106707826992826,-0.1186014044299973,34.26960636262963,-0.0097365918201484,0.9000010120933246,-0.0009720269306018,0.0062746990075701,0.0103524221413839,-0.0036293719446416997,down
1983-07-07,-0.0131964670726632,0.0,0.0189927702264415,0.0339344858031575,0.0318546520740069,0.029543414066372,110046720.0,0.0027909999999999,-0.0507627373036304,-0.0483475295018878,-0.1557582622062214,23.7503779945569,-0.0103433378870201,0.9022543764776368,-0.000964125005673,0.0027886948988198,0.0119845960724733,-0.015985161971483,down
1983-07-08,-0.0106945209745814,0.0,0.0188160506088397,0.0335259484149825,0.0318294262862704,0.0295471153927813,101969280.0,0.002232,-0.0211673572329309,-0.0537095768864119,-0.1375288746308434,24.516457218169435,-0.0108788872227513,0.9034057978236856,-0.0003982860649502,-0.0014373385521129,0.0027298245493079,-0.0092571824224685,up
1983-07-11,0.0270301685934722,0.0,0.0246603140296737,0.0359726607689883,0.0329792283386588,0.0302338949418892,90101760.0,0.005581,0.0026383477701705,-0.0355307323551618,-0.1079786137647598,33.56724853072018,-0.0107292932581788,0.9066109886602606,6.506248453189592e-05,0.0025346482461727,-0.0037315185632158,0.024495520347299498,down
1983-07-12,-0.0236873626529091,0.0,0.0195136874862489,0.0330878786948197,0.032680541909791,0.0303547435110522,88730880.0,0.005023,-0.008020890730936,-0.0185220301700025,-0.0794039699761659,30.202044497895383,-0.010890514018036,0.9140405357147318,-0.0001565171550848,-0.0107685003884471,-0.0006936819326407,-0.012918862264461999,down
1983-07-13,-0.0053904970753172,0.0,0.0192011401282274,0.0250252966526818,0.032572995980722,0.0301295120103895,95347840.0,0.001116,-0.0027025325345202,-0.0263882059235163,-0.0159990060354674,23.18889509290881,-0.0109817437983453,0.9186573496097952,-5.18917058964167e-05,-0.0073833224748925,-0.0142571225847663,0.0019928253995753,flat
1983-07-14,-0.002709856008547,0.0,0.0186731186401727,0.01809650314317,0.0322580041315931,0.0300338419396194,92440320.0,0.0005579999999999,-0.0315815782772311,-0.0160417814618719,-0.063613730461269,25.60066517575551,-0.0109725848649882,0.9243780853741168,-0.0005897265580146,0.0028608471564928,-0.0141861968010468,-0.0055707031650398,down
